             Angels        Astros        Athletics     Blue Jays     Braves        Brewers       Cardinals     Cubs          Diamondbacks  Dodgers       Giants        Indians       Mariners      Marlins       Mets          Nationals     Orioles       Padres        Phillies      Pirates       Rangers       Rays          Red Sox       Reds          Rockies       Royals        Tigers        Twins         White Sox     Yankees
Angels       0             1346          364           2157          1911          1725          1569          1728          335           28            372           2030          978           2301          2437          2278          2296          86            2371          2115          1199          2117          2573          1876          820           1343          1965          1512          1727          2432
Astros       1346          0             1628          1297          698           1001          678           943           1012          1369          1638          1112          1885          957           1423          1216          1247          1299          1335          1134          230           779           1598          890           878           643           1103          1055          937           1421
Athletics    364           1628          0             2249          2119          1821          1727          1838          640           336           10            2147          678           2564          2557          2420          2435          449           2501          2244          1451          2374          2675          2023          934           1495          2072          1568          1840          2552
Blue Jays    2157          1297          2249          0             734           432           658           434           1882          2165          2257          188           2062          1220          346           351           332           2159          337           222           1213          1109          427           410           1339          841           205           689           436           340
Braves       1911          698           2119          734           0             669           467           593           1585          1928          2129          555           2174          591           753           541           576           1883          663           522           735           424           933           370           1208          669           598           906           585           753
Brewers      1725          1001          1821          432           669           0             325           76            1455          1733          1829          338           1681          1255          741           638           642           1729          695           447           864           1093          855           325           907           435           254           294           84            735
Cardinals    1569          678           1727          658           467           325           0             265           1267          1582          1736          490           1717          1047          878           708           728           1558          806           556           559           865           1031          307           794           232           454           465           259           874
Cubs         1728          943           1838          434           593           76            265           0             1448          1737          1847          309           1726          1180          718           597           605           1728          665           410           817           1017          845           257           915           410           237           349           8             713
Diamondbacks 335           1012          640           1882          1585          1455          1267          1448          0             356           651           1742          1112          1966          2143          1974          1995          298           2073          1820          866           1782          2288          1574          585           1049          1683          1276          1447          2139
Dodgers      28            1369          336           2165          1928          1733          1582          1737          356           0             345           2040          956           2322          2447          2290          2308          113           2382          2126          1219          2138          2582          1888          827           1355          1974          1517          1737          2443
Giants       372           1638          10            2257          2129          1829          1736          1847          651           345           0             2156          677           2574          2566          2430          2444          457           2510          2253          1461          2385          2683          2033          943           1504          2081          1577          1849          2561
Indians      2030          1112          2147          188           555           338           490           309           1742          2040          2156          0             2017          1074          410           306           306           2026          358           113           1037          948           546           222           1222          693           91            628           307           405
Mariners     978           1885          678           2062          2174          1681          1717          1726          1112          956           677           2017          0             2714          2403          2319          2323          1061          2369          2127          1665          2520          2479          1963          1016          1505          1929          1389          1730          2397
Marlins      2301          957           2564          1220          591           1255          1047          1180          1966          2322          2574          1074          2714          0             1084          910           943           2255          1005          999           1113          194           1243          939           1711          1222          1140          1497          1172          1087
Mets         2437          1423          2557          346           753           741           878           718           2143          2447          2566          410           2403          1084          0             212           178           2431          91            323           1392          1025          179           575           1632          1095          487           1020          717           6
Nationals    2278          1216          2420          351           541           638           708           597           1974          2290          2430          306           2319          910           212           0             36            2266          121           193           1196          831           391           402           1488          935           396           931           594           212
Orioles      2296          1247          2435          332           576           642           728           605           1995          2308          2444          306           2323          943           178           36            0             2286          88            196           1223          866           357           421           1503          953           396           934           602           177
Padres       86            1299          449           2159          1883          1729          1558          1728          298           113           457           2026          1061          2255          2431          2266          2286          0             2363          2108          1162          2074          2571          1865          832           1336          1964          1528          1727          2426
Phillies     2371          1335          2501          337           663           695           806           665           2073          2382          2510          358           2369          1005          91            121           88            2363          0             258           1309          939           270           500           1572          1027          442           982           663           91
Pirates      2115          1134          2244          222           522           447           556           410           1820          2126          2253          113           2127          999           323           193           196           2108          258           0             1081          887           479           256           1314          772           204           739           407           319
Rangers      1199          230           1451          1213          735           864           559           817           866           1219          1461          1037          1665          1113          1392          1196          1223          1162          1309          1081          0             924           1558          826           653           458           1010          867           812           1389
Rays         2117          779           2374          1109          424           1093          865           1017          1782          2138          2385          948           2520          194           1025          831           866           2074          939           887           924           0             1196          788           1517          1032          1005          1321          1009          1027
Red Sox      2573          1598          2675          427           933           855           1031          845           2288          2582          2683          546           2479          1243          179           391           357           2571          270           479           1558          1196          0             735           1760          1239          608           1116          845           180
Reds         1876          890           2023          410           370           325           307           257           1574          1888          2033          222           1963          939           575           402           421           1865          500           256           826           788           735           0             1090          534           236           603           250           571
Rockies      820           878           934           1339          1208          907           794           915           585           827           943           1222          1016          1711          1632          1488          1503          832           1572          1314          653           1517          1760          1090          0             562           1152          697           916           1627
Royals       1343          643           1495          841           669           435           232           410           1049          1355          1504          693           1505          1222          1095          935           953           1336          1027          772           458           1032          1239          534           562           0             638           413           407           1091
Tigers       1965          1103          2072          205           598           254           454           237           1683          1974          2081          91            1929          1140          487           396           396           1964          442           204           1010          1005          608           236           1152          638           0             540           237           482
Twins        1512          1055          1568          689           906           294           465           349           1276          1517          1577          628           1389          1497          1020          931           934           1528          982           739           867           1321          1116          603           697           413           540           0             355           1014
White Sox    1727          937           1840          436           585           84            259           8             1447          1737          1849          307           1730          1172          717           594           602           1727          663           407           812           1009          845           250           916           407           237           355           0             712
Yankees      2432          1421          2552          340           753           735           874           713           2139          2443          2561          405           2397          1087          6             212           177           2426          91            319           1389          1027          180           571           1627          1091          482           1014          712           0
