Delete,Identifying Number,Title,Description,Website,Directions,Category,Subcategory,Order,Freeform Address,Phone Number,Street1,Street2,Zipcode,Neighborhood,City,State,Country,Latitude,Longitude,Photo Url,Photo Width,Photo Height,Photo Title,Photo Description,Link
,1096178,"MONOCACY RIVER AT BRIDGEPORT, MD",,,FALSE,Other Streams,,,,,,,,,,,,39.678833,-77.2345,,,,,,http://www.communitywalk.com/map/143898#00044;Wb
,1096179,"GUNPOWDER FALLS NEAR PARKTON, MD",,,FALSE,Target Streams,,,,,,,,,,,,39.618889,-76.690306,,,,,,http://www.communitywalk.com/map/143898#00044;Wc
,1096180,"PATTERSON CREEK NEAR HEADSVILLE, WV",,,FALSE,Other Streams,,,,,,,,,,,,39.443149,-78.821965,,,,,,http://www.communitywalk.com/map/143898#00044;Wd
,1096181,"BEAR CREEK AT FRIENDSVILLE, MD",,,FALSE,Other Streams,,,,,,,,,,,,39.656139,-79.394111,,,,,,http://www.communitywalk.com/map/143898#00044;We
,1096182,"PATUXENT RIV NEAR LAUREL, MD",,,FALSE,Other Streams,,,,,,,,,,,,39.115722,-76.87375,,,,,,http://www.communitywalk.com/map/143898#00044;Wf
,1096183,"SOUTH BRANCH POTOMAC RIVER AT FRANKLIN, WV",,,FALSE,Other Streams,,,,,,,,,,,,38.635672,-79.33782,,,,,,http://www.communitywalk.com/map/143898#00044;Wg
,1096184,"BASSETT CREEK NEAR IRONSHIRE, MD",,,FALSE,Other Streams,,,,,,,,,,,,38.267894,-75.244357,,,,,,http://www.communitywalk.com/map/143898#00044;Wh
,1096185,"CASSELMAN RIVER AT GRANTSVILLE, MD",,,FALSE,Main Target,,,,,,,,,,,,39.702194,-79.136389,,,,,,http://www.communitywalk.com/map/143898#00044;Wi
,1096186,"MONOCACY RIVER AT MONOCACY BLVD AT FREDERICK, MD",,,FALSE,Other Streams,,,,,,,,,,,,39.443435,-77.382485,,,,,,http://www.communitywalk.com/map/143898#00044;Wj
,1096187,"SO. BRANCH POTOMAC RIVER NR PETERSBURG, WV",,,FALSE,Other Streams,,,,,,,,,,,,38.991221,-79.175871,,,,,,http://www.communitywalk.com/map/143898#00044;Wk
,1096188,"POCOMOKE RIVER NEAR WILLARDS, MD",,,FALSE,Other Streams,,,,,,,,,,,,38.388889,-75.324444,,,,,,http://www.communitywalk.com/map/143898#00044;Wl
,1096189,"BIRCH BRANCH AT SHOWELL, MD",,,FALSE,Other Streams,,,,,,,,,,,,38.409333,-75.212389,,,,,,http://www.communitywalk.com/map/143898#00044;Wm
,1096190,"LITTLE PATUXENT RIVER AT GUILFORD, MD",,,FALSE,Other Streams,,,,,,,,,,,,39.16775,-76.85125,,,,,,http://www.communitywalk.com/map/143898#00044;Wn
,1096191,"MONOCACY RIVER AT JUG BRIDGE NEAR FREDERICK, MD",,,FALSE,Other Streams,,,,,,,,,,,,39.402833,-77.366083,,,,,,http://www.communitywalk.com/map/143898#00044;Wo
,1096192,"BEETREE RUN AT BENTLEY SPRINGS, MD",,,FALSE,Other Streams,,,,,,,,,,,,39.673083,-76.675194,,,,,,http://www.communitywalk.com/map/143898#00044;X0
,1096193,"SO FK SO BR POTOMAC R AT BRANDYWINE, WV",,,FALSE,Other Streams,,,,,,,,,,,,38.631507,-79.24365,,,,,,http://www.communitywalk.com/map/143898#00044;X1
,1096194,"NASSAWANGO CREEK NEAR SNOW HILL, MD",,,FALSE,Other Streams,,,,,,,,,,,,38.228917,-75.471444,,,,,,http://www.communitywalk.com/map/143898#00044;X2
,1096195,"MINEBANK RUN NEAR GLEN ARM, MD",,,FALSE,Other Streams,,,,,,,,,,,,39.410107,-76.556078,,,,,,http://www.communitywalk.com/map/143898#00044;X3
,1096196,"SOPER BRANCH AT HYATTSTOWN, MD",,,FALSE,Other Streams,,,,,,,,,,,,39.27541,-77.303374,,,,,,http://www.communitywalk.com/map/143898#00044;X4
,1096197,"LITTLE FALLS AT BLUE MOUNT, MD",,,FALSE,Target Streams,,,,,,,,,,,,39.604083,-76.620472,,,,,,http://www.communitywalk.com/map/143898#00044;X5
,1096198,"SO FK SOUTH BRANCH POTOMAC R NR MOOREFIELD, WV",,,FALSE,Other Streams,,,,,,,,,,,,39.012331,-78.956139,,,,,,http://www.communitywalk.com/map/143898#00044;X6
,1096199,"NANTICOKE RIVER NEAR BRIDGEVILLE, DE",,,FALSE,Other Streams,,,,,,,,,,,,38.728333,-75.561861,,,,,,http://www.communitywalk.com/map/143898#00044;X7
,1096200,,,,FALSE,Other Streams,,,,,,,,,,,,39.524024,-76.411768,,,,,,http://www.communitywalk.com/map/143898#00044;X8
,1096201,"BENNETT CREEK AT PARK MILLS, MD",,,FALSE,Other Streams,,,,,,,,,,,,39.294139,-77.407083,,,,,,http://www.communitywalk.com/map/143898#00044;X9
,1096202,"GUNPOWDER FALLS AT GLENCOE, MD",,,FALSE,Other Streams,,,,,,,,,,,,39.549694,-76.636111,,,,,,http://www.communitywalk.com/map/143898#00044;X:
,1096203,"SOUTH BRANCH POTOMAC RIVER NEAR SPRINGFIELD, WV",,,FALSE,Other Streams,,,,,,,,,,,,39.447039,-78.654182,,,,,,http://www.communitywalk.com/map/143898#00044;X;
,1096204,,,,FALSE,Other Streams,,,,,,,,,,,,39.530091,-79.018084,,,,,,http://www.communitywalk.com/map/143898#00044;X<
,1096205,"LITTLE PATUXENT RIVER AT SAVAGE, MD",,,FALSE,Other Streams,,,,,,,,,,,,39.134417,-76.816167,,,,,,http://www.communitywalk.com/map/143898#00044;X=
,1096206,"GOOSE CREEK NEAR LEESBURG, VA",,,FALSE,Other Streams,,,,,,,,,,,,39.019553,-77.577492,,,,,,http://www.communitywalk.com/map/143898#00044;Xq
,1096207,"PINEY RUN AT DOVER, MD",,,FALSE,Other Streams,,,,,,,,,,,,39.520611,-76.766889,,,,,,http://www.communitywalk.com/map/143898#00044;Xp
,1096208,"NANTICOKE RIVER AT SHARPTOWN, MD",,,FALSE,Other Streams,,,,,,,,,,,,38.544004,-75.719932,,,,,,http://www.communitywalk.com/map/143898#00044;X@
,1096209,"PATUXENT RIVER NEAR BOWIE, MD",,,FALSE,Other Streams,,,,,,,,,,,,38.955917,-76.693694,,,,,,http://www.communitywalk.com/map/143898#00044;XA
,1096210,"LITTLE SENECA CREEK TRIBUTARY NEAR CLARKSBURG, MD",,,FALSE,Other Streams,,,,,,,,,,,,39.231495,-77.255817,,,,,,http://www.communitywalk.com/map/143898#00044;XB
,1096211,Delaware River at Trenton NJ,,,FALSE,Other Streams,,,,,,,,,,,,40.221667,-74.778056,,,,,,http://www.communitywalk.com/map/143898#00044;XC
,1096212,"MARSHYHOPE CREEK NEAR ADAMSVILLE, DE",,,FALSE,Other Streams,,,,,,,,,,,,38.849694,-75.673111,,,,,,http://www.communitywalk.com/map/143898#00044;XD
,1096213,"WESTERN BRANCH AT UPPER MARLBORO, MD",,,FALSE,Other Streams,,,,,,,,,,,,38.814222,-76.748722,,,,,,http://www.communitywalk.com/map/143898#00044;XE
,1096214,"LITTLE SENECA CREEK TRIBUTARY NEAR GERMANTOWN, MD",,,FALSE,Other Streams,,,,,,,,,,,,39.198995,-77.274984,,,,,,http://www.communitywalk.com/map/143898#00044;XF
,1096215,"WESTERN RUN AT WESTERN RUN, MD",,,FALSE,Other Streams,,,,,,,,,,,,39.510778,-76.6765,,,,,,http://www.communitywalk.com/map/143898#00044;XG
,1096216,"SHELLPOT CREEK AT WILMINGTON, DE",,,FALSE,Other Streams,,,,,,,,,,,,39.760972,-75.518694,,,,,,http://www.communitywalk.com/map/143898#00044;XH
,1096217,"CHICAMACOMICO RIVER NEAR SALEM, MD",,,FALSE,Other Streams,,,,,,,,,,,,38.511667,-75.879917,,,,,,http://www.communitywalk.com/map/143898#00044;XI
,1096218,"NORTH BRANCH POTOMAC RIVER AT STEYER, MD",,,FALSE,Target Streams,,,,,,,,,,,,39.301889,-79.306889,,,,,,http://www.communitywalk.com/map/143898#00044;XJ
