
# 
#
# USGS Parameter Code Definitions File
#
# Column Definitions
#  parameter_cd  - Parameter Code
#  parameter_group_nm  - Group Name
#  parameter_nm  - Parameter Name/Description
#
#
# Date Retrieved: 2007-11-11 10:27:51 EST
#
parameter_cd	parameter_group_nm	parameter_nm
5s	30s	170s
00003	Physical Property	Sampling depth, feet
00004	Physical Property	Stream width, feet
00010	Physical Property	Temperature, water, degrees Celsius
00011	Physical Property	Temperature, water, degrees Fahrenheit
00012	Physical Property	Evaporation temperature, 48 inch pan, degrees Celsius
00013	Physical Property	Evaporation temperature, 24 inch pan, degrees Celsius
00014	Physical Property	Wet bulb temperature, degrees Celsius
00020	Physical Property	Temperature, air, degrees Celsius
00021	Physical Property	Temperature, air, degrees Fahrenheit
00024	Physical Property	Sample length, inches
00025	Physical Property	Barometric pressure, millimeters of mercury
00030	Physical Property	Incident solar radiation intensity, calories per square centimeter per day
00031	Physical Property	Incident light remaining at depth, percent
00032	Physical Property	Cloud cover, percent
00034	Physical Property	Depth to 1 percent of surface light, feet
00035	Physical Property	Wind speed, miles per hour
00036	Physical Property	Wind direction, degrees clockwise from true north
00042	Physical Property	Altitude, feet above mean sea level
00045	Physical Property	Precipitation, total, inches
00046	Physical Property	Precipitation, total, inches per week
00047	Physical Property	Total partial pressure of dissolved gases, water, unfiltered, millimeters of mercury
00048	Physical Property	Total partial pressure of dissolved gases, water, unfiltered, percent of saturation
00049	Physical Property	Surface area, square miles
00050	Physical Property	Evaporation total, inches per day
00051	Physical Property	Surface area, square feet
00052	Physical Property	Relative humidity, percent
00053	Physical Property	Surface area, acres
00054	Physical Property	Reservoir storage, acre feet
00055	Physical Property	Stream velocity, feet per second
00056	Physical Property	Flow rate of well, gallons per day
00058	Physical Property	Flow rate of well, gallons per minute
00059	Physical Property	Flow rate, instantaneous, gallons per minute
00060	Physical Property	Discharge, cubic feet per second
00061	Physical Property	Discharge, instantaneous, cubic feet per second
00062	Physical Property	Elevation of reservoir water surface above datum, feet
00064	Physical Property	Mean depth of stream, feet
00065	Physical Property	Gage height, feet
00067	Physical Property	Tide stage, code
00070	Physical Property	Turbidity, water, unfiltered, Jackson Turbidity Units
00072	Physical Property	Stream stage, meters
00074	Physical Property	Light transmission, 1 meter pathlength, water, unfiltered, percent
