# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://waterdata.usgs.gov/nwis/help/?provisional
#
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info
# Automated-retrieval info: http://waterdata.usgs.gov/nwis/?automated_retrieval_info
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2008-07-07 06:40:32 EDT
#
# Data for the following site(s) are contained in this file
#    USGS 02169810 SANTEE R AT TREZESVANTS LANDING NR FT MOTTE, SC
# -----------------------------------------------------------------------------------
#
# Data provided for site 02169810
#    DD parameter   Description
#    01   00065     Gage height, feet
#
agency_cd	site_no	datetime	01_00065	01_00065_cd
5s	15s	16d	14n	10s
USGS	02169810	2008-06-06 00:00	74.43	
USGS	02169810	2008-06-06 00:15	74.42	
USGS	02169810	2008-06-06 00:30	74.42	
USGS	02169810	2008-06-06 00:45	74.41	
USGS	02169810	2008-06-06 01:00	74.40	
USGS	02169810	2008-06-06 01:15	74.40	
USGS	02169810	2008-06-06 01:30	74.39	
USGS	02169810	2008-06-06 01:45	74.38	
USGS	02169810	2008-06-06 02:00	74.37	
USGS	02169810	2008-06-06 02:15	74.36	
USGS	02169810	2008-06-06 02:30	74.36	
USGS	02169810	2008-06-06 02:45	74.35	
USGS	02169810	2008-06-06 03:00	74.34	
USGS	02169810	2008-06-06 03:15	74.34	
USGS	02169810	2008-06-06 03:30	74.34	
USGS	02169810	2008-06-06 03:45	74.34	
USGS	02169810	2008-06-06 04:00	74.34	
USGS	02169810	2008-06-06 04:15	74.34	
USGS	02169810	2008-06-06 04:30	74.34	
USGS	02169810	2008-06-06 04:45	74.34	
USGS	02169810	2008-06-06 05:00	74.34	
USGS	02169810	2008-06-06 05:15	74.35	
USGS	02169810	2008-06-06 05:30	74.34	
USGS	02169810	2008-06-06 05:45	74.35	
USGS	02169810	2008-06-06 06:00	74.34	
USGS	02169810	2008-06-06 06:15	74.34	
USGS	02169810	2008-06-06 06:30	74.29	
USGS	02169810	2008-06-06 06:45	74.34	
USGS	02169810	2008-06-06 07:00	74.34	
USGS	02169810	2008-06-06 07:15	74.34	
USGS	02169810	2008-06-06 07:30	74.33	
USGS	02169810	2008-06-06 07:45	74.32	
USGS	02169810	2008-06-06 08:00	74.32	
USGS	02169810	2008-06-06 08:15	74.32	
USGS	02169810	2008-06-06 08:30	74.31	
USGS	02169810	2008-06-06 08:45	74.30	
USGS	02169810	2008-06-06 09:00	74.30	
USGS	02169810	2008-06-06 09:15	74.29	
USGS	02169810	2008-06-06 09:30	74.29	
